,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,value of product
6293,lynchburg,3995,2007.0,volkswagen,passat wagon,good,4 cylinders,gas,111260.0,clean,automatic,fwd,hatchback,blue,3
6294,lynchburg,6900,2009.0,ford,edge sport,excellent,6 cylinders,gas,99185.07784431137,lien,automatic,4wd,SUV,blue,1
6295,new river valley,5800,2004.0,ford,mustang,excellent,6 cylinders,gas,85437.0,clean,automatic,rwd,coupe,grey,2
6296,new river valley,11500,2007.0,dodge,1500,excellent,8 cylinders,gas,117500.0,clean,automatic,4wd,pickup,red,2
6297,lynchburg,14900,2017.0,hyundai,santa fe,like new,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6298,lynchburg,6790,2008.0,buick,enclave cx,excellent,6 cylinders,gas,160000.0,clean,automatic,4wd,SUV,custom,1
6299,lynchburg,8995,2014.0,dodge,charger,excellent,4 cylinders,gas,103984.0,clean,automatic,4wd,sedan,white,2
6300,lynchburg,6999,2012.0,hyundai,sonata,excellent,4 cylinders,gas,91057.0,clean,automatic,4wd,sedan,blue,1
6301,lynchburg,6999,2012.0,honda,civic,excellent,4 cylinders,gas,91803.0,clean,automatic,4wd,coupe,red,2
6302,lynchburg,6995,2014.0,nissan,versa note sv,excellent,4 cylinders,gas,34363.0,clean,automatic,4wd,hatchback,silver,2
6303,lynchburg,6495,2012.0,nissan,rogue sv awd,excellent,4 cylinders,gas,114997.0,clean,automatic,4wd,SUV,grey,1
6304,lynchburg,3800,2008.0,chevrolet,silverado,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6305,lynchburg,11997,2012.0,ford,f-150 xlt,excellent,8 cylinders,gas,168416.0,clean,automatic,4wd,truck,white,2
6306,new river valley,4600,2007.0,ford,edge,good,6 cylinders,gas,125000.0,clean,automatic,4wd,SUV,black,1
6307,new river valley,5500,2004.0,ford,f350,excellent,8 cylinders,gas,219000.0,clean,automatic,4wd,pickup,white,2
6308,new river valley,4700,2007.0,honda,civic,excellent,4 cylinders,gas,129000.0,clean,automatic,fwd,coupe,blue,3
6309,moses lake,24988,2017.0,honda,cr-v,excellent,6 cylinders,gas,42765.0,clean,automatic,4wd,SUV,black,1
6310,new river valley,7500,2009.0,honda,odyssey ex-l,good,6 cylinders,gas,151000.0,clean,automatic,fwd,SUV,white,3
6311,new river valley,2500,2003.0,ford,focus,good,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6312,new river valley,32817,2017.0,mercedes-benz,e300 luxury 4matic,excellent,6 cylinders,gas,45840.0,clean,automatic,4wd,SUV,white,2
6313,new river valley,25211,2017.0,mercedes-benz,c300 4matic,excellent,6 cylinders,gas,42774.0,clean,automatic,4wd,SUV,white,2
6314,new river valley,28950,2015.0,chevrolet,silverado 1500 crew cab,excellent,8 cylinders,gas,99636.0,clean,automatic,4wd,pickup,black,1
6315,new river valley,15900,2003.0,ford,f-250,excellent,6 cylinders,diesel,158876.0,clean,automatic,4wd,SUV,white,2
6316,new river valley,16499,2010.0,ford,e-350,like new,8 cylinders,gas,131513.0,clean,automatic,4wd,van,white,2
6317,new river valley,18900,2006.0,chevrolet,silverado 2500hd,like new,8 cylinders,diesel,112000.0,clean,automatic,4wd,SUV,white,2
6318,new river valley,8500,2012.0,toyota,corolla,good,4 cylinders,gas,99185.07784431137,clean,automatic,fwd,sedan,black,3
6319,new river valley,3895,2006.0,subaru,outback,excellent,4 cylinders,gas,166555.0,clean,automatic,4wd,sedan,blue,1
6320,new river valley,29900,2007.0,chevrolet,silverado,excellent,6 cylinders,diesel,85591.0,clean,automatic,4wd,SUV,white,2
6321,new river valley,18000,2017.0,subaru,legacy 2.5i sport,excellent,4 cylinders,gas,44004.0,clean,automatic,4wd,sedan,grey,1
6322,new river valley,21000,2013.0,chevrolet,camaro ss,like new,8 cylinders,gas,99185.07784431137,clean,manual,4wd,SUV,white,2
6323,new river valley,11850,2012.0,nissan,titan sl crew cab 4x4,good,8 cylinders,gas,198000.0,clean,automatic,4wd,SUV,white,2
6324,new river valley,10650,2011.0,chevrolet,silverado ext cab 4x4,good,8 cylinders,gas,183000.0,clean,automatic,4wd,SUV,white,2
6325,new river valley,7950,2005.0,nissan,titan crew cab 4x4,good,8 cylinders,gas,155000.0,clean,automatic,4wd,SUV,white,2
6326,new river valley,6950,2006.0,nissan,xterra 4x4,good,6 cylinders,gas,96000.0,clean,manual,4wd,SUV,white,2
6327,new river valley,6950,2005.0,chevrolet,silverado 2500hd,good,8 cylinders,gas,99185.07784431137,clean,automatic,rwd,SUV,white,2
6328,new river valley,9950,2010.0,ford,f 250 4x4,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6329,new river valley,6000,2010.0,chevrolet,traverse lt,excellent,6 cylinders,gas,135000.0,clean,automatic,4wd,SUV,white,2
6330,new river valley,23900,2007.0,gmc,sierra,excellent,6 cylinders,diesel,172261.0,clean,automatic,4wd,SUV,white,2
6331,new river valley,8500,2010.0,toyota,rav4,good,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,silver,2
6332,new river valley,33900,2016.0,ford,f-250,excellent,6 cylinders,gas,30585.0,clean,automatic,4wd,SUV,white,2
6333,new river valley,7500,2007.0,toyota,4runner,good,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,grey,1
6334,new river valley,5400,1997.0,jeep,wrangler,good,4 cylinders,gas,156000.0,lien,manual,4wd,SUV,purple,2
6335,new river valley,4700,2005.0,pontiac,montana sv6,excellent,6 cylinders,gas,110564.0,clean,automatic,fwd,mini-van,blue,3
6336,new river valley,5300,2009.0,mercedes-benz,benz,excellent,6 cylinders,gas,193000.0,clean,automatic,fwd,sedan,white,3
6337,new river valley,5500,2013.0,chevrolet,cruze lt,excellent,4 cylinders,gas,119757.0,clean,automatic,fwd,sedan,yellow,3
6338,new river valley,29999,1999.0,ford,SPARTAN GLADIATOR,excellent,6 cylinders,diesel,30995.0,clean,automatic,4wd,truck,yellow,2
6339,new river valley,7250,2004.0,chevrolet,silverado 1500,fair,8 cylinders,gas,170500.0,clean,automatic,4wd,truck,white,2
6340,new river valley,5000,1996.0,toyota,tacoma,good,4 cylinders,gas,185000.0,clean,manual,4wd,pickup,red,2
6341,new river valley,6700,2012.0,honda,civic,excellent,4 cylinders,gas,130000.0,clean,automatic,fwd,sedan,silver,3
6342,new river valley,2500,1998.0,ford,taurus se,excellent,6 cylinders,gas,114000.0,clean,automatic,fwd,sedan,silver,3
6343,new river valley,2200,2007.0,volkswagen,passat wagon,good,6 cylinders,gas,165000.0,clean,automatic,fwd,wagon,grey,3
6344,new river valley,4199,2006.0,toyota,sienna le,good,6 cylinders,gas,99185.07784431137,clean,automatic,fwd,mini-van,grey,3
6345,new river valley,28300,2017.0,honda,odyssey ex-l w/dvd,like new,6 cylinders,gas,33200.0,clean,automatic,4wd,mini-van,white,2
6346,new river valley,6900,2008.0,acura,tl,excellent,6 cylinders,gas,101965.0,clean,automatic,fwd,sedan,red,3
6347,new river valley,6900,2003.0,chevrolet,s10 pickup,like new,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6348,new river valley,8500,1997.0,jeep,wrangler tj,good,6 cylinders,gas,166576.0,clean,manual,4wd,SUV,grey,1
6349,new river valley,33900,2011.0,chevrolet,silverado,excellent,6 cylinders,diesel,65041.0,clean,automatic,4wd,SUV,white,2
6350,new river valley,5200,2013.0,kia,soul +,excellent,4 cylinders,gas,144244.0,clean,automatic,fwd,wagon,black,3
6351,new river valley,4500,2013.0,kia,soul,excellent,4 cylinders,gas,121321.0,clean,manual,fwd,wagon,red,3
6352,new river valley,4995,2012.0,toyota,yaris le,like new,4 cylinders,gas,139362.0,clean,automatic,fwd,hatchback,red,3
6353,new river valley,8900,2013.0,lincoln,mks,excellent,6 cylinders,gas,112284.0,clean,automatic,4wd,SUV,white,2
6354,new river valley,3800,2006.0,volvo,s60 2.5l turbo,like new,5 cylinders,gas,114368.0,clean,automatic,fwd,sedan,grey,3
6355,new river valley,2800,2008.0,hyundai,elantra gls,like new,4 cylinders,gas,174645.0,clean,automatic,fwd,sedan,silver,3
6356,new river valley,1700,2005.0,cadillac,cts,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,sedan,blue,1
6357,new river valley,4995,2006.0,jeep,grand cherokee laredo,excellent,6 cylinders,gas,139121.0,clean,automatic,4wd,SUV,white,2
6358,new river valley,3500,2007.0,bmw,328i,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,truck,white,2
6359,new river valley,3500,2008.0,bmw,328i,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,truck,blue,1
6360,new river valley,20900,2013.0,ford,f-250,excellent,6 cylinders,gas,165568.0,clean,automatic,4wd,SUV,white,2
6361,new river valley,2500,1999.0,ram,2500,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6362,new river valley,6400,2012.0,chevrolet,cruze,like new,4 cylinders,gas,106328.0,lien,manual,fwd,sedan,white,3
6363,new river valley,2500,2004.0,mitsubishi,eclipse,good,4 cylinders,gas,134000.0,clean,manual,fwd,coupe,green,3
6364,new river valley,5008,2012.0,ford,focus,excellent,4 cylinders,gas,89929.0,clean,automatic,fwd,hatchback,white,3
6365,new river valley,4421,2005.0,honda,civic,excellent,4 cylinders,gas,154598.0,clean,manual,fwd,coupe,black,3
6366,new river valley,13700,2011.0,subaru,impreza wrx,excellent,6 cylinders,gas,57500.0,clean,manual,4wd,SUV,white,2
6367,new river valley,7900,2012.0,ford,focus sel,excellent,4 cylinders,gas,74986.0,clean,automatic,fwd,hatchback,blue,3
6368,new river valley,7800,1999.0,gmc,sierra,excellent,8 cylinders,gas,125000.0,clean,automatic,4wd,SUV,white,2
6369,new river valley,7900,2003.0,chevrolet,s10 pickup,like new,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6370,new river valley,10000,2000.0,toyota,tundra,excellent,8 cylinders,gas,125000.0,clean,automatic,4wd,truck,white,2
6371,new river valley,6995,2011.0,chevrolet,traverse lt,excellent,6 cylinders,gas,74731.0,clean,automatic,fwd,SUV,red,3
6372,new river valley,10900,2011.0,ford,ranger,excellent,6 cylinders,gas,173743.0,clean,automatic,4wd,SUV,white,2
6373,new river valley,36900,2005.0,ford,f-550,excellent,6 cylinders,diesel,39458.0,clean,automatic,4wd,SUV,white,2
6374,new river valley,4996,2001.0,chrysler,pt cruiser,excellent,6 cylinders,gas,76645.0,clean,automatic,4wd,SUV,white,2
6375,new river valley,35900,2015.0,ford,f-250,excellent,6 cylinders,diesel,28746.0,clean,automatic,4wd,SUV,white,2
6376,new river valley,30000,2016.0,ford,f150 supercrew cab,excellent,8 cylinders,gas,58000.0,clean,automatic,4wd,truck,silver,2
6377,new river valley,6500,2004.0,ford,f-150,good,8 cylinders,gas,215000.0,clean,automatic,4wd,truck,silver,2
6378,new river valley,3400,2009.0,volkswagen,jetta,good,6 cylinders,gas,176000.0,clean,manual,4wd,SUV,black,1
6379,new river valley,8500,2008.0,chevrolet,silverado 1500,good,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6380,new river valley,16900,2004.0,ford,f-550 4x4 v-10,good,10 cylinders,gas,99185.07784431137,clean,automatic,4wd,other,white,2
6381,new river valley,2400,2002.0,jaguar,s-type,good,8 cylinders,gas,204200.0,clean,automatic,rwd,sedan,green,3
6382,new river valley,4200,2004.0,ford,explorer limited,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,red,2
6383,new river valley,3300,2004.0,hyundai,santa fe,excellent,4 cylinders,gas,102862.0,clean,automatic,fwd,SUV,black,3
6384,new river valley,9900,2008.0,chevrolet,tahoe 4x4,good,6 cylinders,hybrid,154000.0,lien,automatic,4wd,SUV,white,2
6385,new river valley,8995,2010.0,chevrolet,camaro 1lt,like new,6 cylinders,gas,137873.0,clean,automatic,rwd,coupe,black,1
6386,new river valley,2000,1996.0,mitsubishi,eclipse spyder gs-t,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
6387,new river valley,5000,2009.0,subaru,forester,good,4 cylinders,gas,204800.0,clean,automatic,4wd,SUV,blue,1
6388,new river valley,9000,2009.0,honda,ridgeline rtl,good,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,truck,white,2
6389,new river valley,13950,2010.0,chevrolet,suburban,excellent,8 cylinders,gas,184106.0,clean,automatic,4wd,SUV,white,2
6390,new river valley,4950,2009.0,ford,escape,excellent,6 cylinders,gas,134865.0,clean,automatic,fwd,SUV,white,3
6391,new river valley,30000,2008.0,ford,f750,good,6 cylinders,diesel,52246.0,clean,automatic,4wd,truck,white,2
6392,new river valley,5500,2012.0,ford,focus titanium,like new,4 cylinders,gas,135029.0,clean,automatic,fwd,sedan,white,3
6393,new river valley,9999,2010.0,ford,fusion,like new,4 cylinders,hybrid,30000.0,clean,automatic,fwd,sedan,grey,3
6394,new river valley,12500,2006.0,ford,f-250,good,6 cylinders,diesel,128.0,clean,automatic,4wd,truck,white,2
6395,new river valley,14900,2002.0,ram,van,excellent,6 cylinders,gas,28378.0,clean,automatic,4wd,SUV,white,2
6396,new river valley,16500,2007.0,ford,f-450,excellent,6 cylinders,diesel,144616.0,clean,automatic,4wd,SUV,white,2
6397,new river valley,24900,2007.0,ford,f-250,excellent,6 cylinders,diesel,94590.0,clean,automatic,4wd,SUV,white,2
6398,new river valley,3300,2002.0,toyota,camry,excellent,6 cylinders,gas,168000.0,clean,automatic,fwd,sedan,white,3
6399,new river valley,5500,2011.0,nissan,rogue s,excellent,4 cylinders,gas,94000.0,clean,automatic,4wd,SUV,silver,2
6400,new river valley,7438,2013.0,ford,escape,excellent,4 cylinders,gas,121622.0,clean,automatic,fwd,SUV,brown,3
6401,new river valley,3800,2011.0,volkswagen,jetta 1.4t s,excellent,4 cylinders,gas,134469.0,clean,manual,fwd,sedan,blue,3
6402,new river valley,5990,2007.0,toyota,camry hybrid,good,4 cylinders,hybrid,86600.0,clean,automatic,fwd,sedan,red,3
6403,new river valley,28900,2013.0,ford,f-250,excellent,6 cylinders,diesel,126301.0,clean,automatic,4wd,SUV,white,2
6404,new river valley,3500,2007.0,jeep,compass sport,excellent,4 cylinders,gas,160272.0,clean,automatic,4wd,SUV,brown,1
6405,new river valley,9450,2011.0,honda,cr-v,excellent,4 cylinders,gas,117148.0,clean,automatic,4wd,SUV,red,2
